"Azure Well-Architected Review - Jan 12, 2023 - 9:35:51 AM",,,,,
,,,,,
Recommendations for your workload,,,,,
Your overall results,Critical,'6/100',,,
Cost Optimization,Critical,'7/100',,,
Performance Efficiency,Critical,'4/100',,,
,,,,,
Next Steps,,,,,
"Review, identify, and classify business critical applications",https://learn.microsoft.com/azure/architecture/framework/security/design-apps-services,,,,
Define RPO and RTO for your workload,https://learn.microsoft.com/azure/architecture/framework/Resiliency/business-metrics#recovery-metrics,,,,
Review limits,https://learn.microsoft.com/azure/architecture/framework/devops/release-engineering-app-dev?branch=main,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Performance Efficiency,Use critical system flows in the health model,https://learn.microsoft.com/azure/architecture/framework/resiliency/monitor-model#application-logs,Medium,Health Modeling & Monitoring,Data Interpretation & Health Modeling,50,Use critical system flows in the health model,N,
Performance Efficiency,Configure retention times for logs and metrics,https://learn.microsoft.com/azure/architecture/framework/scalability/monitor#data-interpretation--health-modeling,Medium,Health Modeling & Monitoring,Data Interpretation & Health Modeling,50,Configure retention times for logs and metrics,N,
Performance Efficiency,Analyze long-term trends to predict performance issues,https://learn.microsoft.com/azure/architecture/framework/scalability/monitor#data-interpretation--health-modeling,Medium,Health Modeling & Monitoring,Data Interpretation & Health Modeling,50,Analyze long-term trends to predict performance issues,N,
Performance Efficiency,Track how your resources scale,https://learn.microsoft.com/azure/azure-monitor/autoscale/autoscale-overview,Medium,Health Modeling & Monitoring,Data Interpretation & Health Modeling,50,Track how your resources scale,N,
Performance Efficiency,Use application profiling tools,https://learn.microsoft.com/visualstudio/profiling/profiling-feature-tour?view=vs-2019,Medium,Performance Testing,Troubleshooting,50,Use application profiling tools,N,
Performance Efficiency,Deploy to paired regions,https://learn.microsoft.com/azure/best-practices-availability-paired-regions,Medium,Application Design,Design,50,Deploy to paired regions,N,
Performance Efficiency,Monitor the components required to serve a single request,https://learn.microsoft.com/azure/architecture/best-practices/monitoring#instrumenting-an-application,Medium,Performance Testing,Load Capacity,50,Monitor the components required to serve a single request,N,
Performance Efficiency,Determine appropriate metrics for your workload,https://learn.microsoft.com/azure/architecture/framework/scalability/checklist,Medium,Performance Testing,Load Capacity,50,Determine appropriate metrics for your workload,N,
Performance Efficiency,Collect application logs from all environments with a tool like Azure Application Insights,https://learn.microsoft.com/azure/azure-monitor/app/app-insights-overview,Medium,Health Modeling & Monitoring,Application Level Monitoring,50,Collect application logs from all environments with a tool like Azure Application Insights,N,
Performance Efficiency,Capture logs in a structured format,https://learn.microsoft.com/azure/architecture/example-scenario/logging/unified-logging,Medium,Health Modeling & Monitoring,Application Level Monitoring,50,Capture logs in a structured format,N,
Performance Efficiency,Correlate events across all tiers of your workload,https://learn.microsoft.com/azure/architecture/framework/scalability/checklist,Medium,Health Modeling & Monitoring,Application Level Monitoring,50,Correlate events across all tiers of your workload,N,
Performance Efficiency,Develop a troubleshooting guide for database performance problems,https://learn.microsoft.com/azure/azure-sql/database/automatic-tuning-overview,Medium,Performance Testing,Troubleshooting,50,Develop a troubleshooting guide for database performance problems,N,
Performance Efficiency,Develop a troubleshooting guide for high CPU or memory issues,https://learn.microsoft.com/troubleshoot/azure/virtual-machines/troubleshoot-high-cpu-issues-azure-windows-vm,Medium,Performance Testing,Troubleshooting,50,Develop a troubleshooting guide for high CPU or memory issues,N,
Performance Efficiency,Determine how to isolate increased response times,https://learn.microsoft.com/azure/azure-monitor/app/distributed-tracing,Medium,Performance Testing,Troubleshooting,50,Determine how to isolate increased response times,N,
Performance Efficiency,Use appropriate performance testing tools,https://learn.microsoft.com/azure/architecture/framework/scalability/performance-test,Medium,Performance Testing,Tools & Planning,50,Use appropriate performance testing tools,N,
Performance Efficiency,Determine the acceptable operational margin between peak utilization and maximum load,https://learn.microsoft.com/azure/azure-monitor/vm/vminsights-performance,Medium,Performance Testing,Load Capacity,50,Determine the acceptable operational margin between peak utilization and maximum load,N,
Performance Efficiency,Use a Content Delivery Networks (CDN),https://learn.microsoft.com/azure/architecture/framework/Scalability/capacity#content-delivery-networks-(cdn),Low,Networking & Connectivity,Endpoints,30,Use a Content Delivery Networks (CDN),N,
Performance Efficiency,Establish targets for database performance,https://learn.microsoft.com/sql/relational-databases/performance/display-an-actual-execution-plan,Low,Application Design,Targets & Non-Functional Requirements,30,Establish targets for database performance,N,
Performance Efficiency,Have a large scale event management strategy in place,https://learn.microsoft.com/azure/architecture/framework/Scalability/capacity#large-scale-event-management,Low,Capacity & Service Availability Planning,Scalability & Capacity Model,30,Have a large scale event management strategy in place,N,
Performance Efficiency,Implement database partitioning,https://learn.microsoft.com/azure/architecture/framework/scalability/design-apps#database-considerations,Low,Application Design,Design,30,Implement database partitioning,N,
AzSAP Reliability,Improve the SAP Workload reliability with Azure Availability Zones,https://learn.microsoft.com/en-us/azure/virtual-machines/workloads/sap/sap-ha-availability-zones,High,,,0,,N,
Operational Excellence,Implement strategies for resiliency and self-healing,https://learn.microsoft.com/azure/architecture/framework/resiliency/app-design,Medium,Application Design,Design,50,Implement strategies for resiliency and self-healing,N,
Operational Excellence,Monitor critical external dependencies,https://learn.microsoft.com/azure/architecture/framework/devops/monitor-pipeline,Medium,Health Modeling & Monitoring,Dependencies,50,Monitor critical external dependencies,N,
Operational Excellence,Implement a health model,https://learn.microsoft.com/azure/architecture/best-practices/monitoring#health-monitoring,Medium,Health Modeling & Monitoring,Data Interpretation & Health Modeling,50,Implement a health model,N,
Operational Excellence,Define a process for alert reaction,https://learn.microsoft.com/azure/architecture/framework/devops/alerts#alert-owners,Medium,Health Modeling & Monitoring,Alerting,50,Define a process for alert reaction,N,
Reliability,Operate your workload in multiple regions,https://learn.microsoft.com/azure/availability-zones/az-overview,High,Application Design,Design,77,Operate your workload in multiple regions,N,
Reliability,Deploy to multiple availability zones,https://learn.microsoft.com/azure/availability-zones/az-overview#availability-zones,High,Application Design,Design,75,Deploy to multiple availability zones,N,
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Cost Optimization,How are you modeling cloud costs of this workload?,Cloud costs are being modelled for this workload.,,,
Cost Optimization,How are you modeling cloud costs of this workload?,The price model of the workload is clear.,,,
Cost Optimization,How are you modeling cloud costs of this workload?,Critical system flows through the application have been defined for all key business scenarios.,,,
Cost Optimization,How are you modeling cloud costs of this workload?,There is a well-understood capacity model for the workload.,,,
Cost Optimization,How are you modeling cloud costs of this workload?,Internal and external dependencies are identified and cost implications understood.,,,
Cost Optimization,How are you modeling cloud costs of this workload?,Cost implications of each Azure service used by the application are understood.,,,
Cost Optimization,How are you modeling cloud costs of this workload?,The right operational capabilities are used for Azure services.,,,
Cost Optimization,How are you modeling cloud costs of this workload?,Special discounts given to services or licenses are factored in when calculating new cost models for services being moved to the cloud.,,,
Cost Optimization,How are you modeling cloud costs of this workload?,Azure Hybrid Use Benefit is used to drive down cost in the cloud.,,,
Cost Optimization,How are you modeling cloud costs of this workload?,None of the above.,None of the above.,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,Budgets are assigned to all services in this workload.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,There is a cost owner for every service used by this workload.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,Cost forecasting is done to ensure it aligns with the budget.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,There is a monthly or yearly meeting where the budget is reviewed.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,Every environment has a target end-date.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,Every environment has a plan for migrating to PaaS or serverless to lower the all up cost and transfer risk.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,There is a clear understanding of how budget is defined.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,Budget is factored into the building phase.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,There is an ongoing conversation between the app owner and the business.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,There is a plan to modernize the workload.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,Azure Tags are used to enrich Azure resources with operational metadata.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,The application has a well-defined naming standard for Azure resources.,The application has a well-defined naming standard for Azure resources.,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,Role Based Access Control (RBAC) is used to control access to operational and financial dashboards and underlying data.,,,
Cost Optimization,How do you govern budgets and application lifespan for this workload?,None of the above.,,,
Cost Optimization,How are you monitoring costs of this workload?,Alerts are set for cost thresholds and limits.,,,
Cost Optimization,How are you monitoring costs of this workload?,Specific owners and processes are defined for each alert type.,,,
Cost Optimization,How are you monitoring costs of this workload?,Application Performance Management (APM) tools and log aggregation technologies are used to collect logs and metrics from Azure resources.,,,
Cost Optimization,How are you monitoring costs of this workload?,Cost Management Tools (such as Azure Cost Management) are being used to track spending in this workload.,,,
Cost Optimization,How are you monitoring costs of this workload?,None of the above.,None of the above.,,
Cost Optimization,How do you optimize the design of this workload?,The application was built natively for the cloud.,The application was built natively for the cloud.,,
Cost Optimization,How do you optimize the design of this workload?,There is an availability strategy defined and cost implications of it are understood.,,,
Cost Optimization,How do you optimize the design of this workload?,This workload benefits from higher density.,,,
Cost Optimization,How do you optimize the design of this workload?,Data is being transferred between regions.,,,
Cost Optimization,How do you optimize the design of this workload?,Multi-region deployment is supported and cost implications understood.,,,
Cost Optimization,How do you optimize the design of this workload?,The workload is designed to use Availability Zones within a region.,,,
Cost Optimization,How do you optimize the design of this workload?,None of the above.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,Performance requirements are well-defined.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,Targets for the time it takes to perform scale operations are defined and monitored.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,The workload is designed to scale independently.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,The application has been designed to scale both in and out.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,Application components and data are split into groups as part of your disaster recovery strategy.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,Tools (such as Azure Advisor) are being used to optimise SKUs discovered in this workload.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,Resources are reviewed weekly or bi-weekly for optimization.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,Cost-effective regions are considered as part of the deployment selection.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,Dev/Test offerings are used correctly.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,Shared hosting platforms are used correctly.,,,
Cost Optimization,How do you ensure that cloud services are appropriately provisioned?,None of the above.,None of the above.,,
Cost Optimization,What considerations for DevOps practices are you making in this workload?,There is an automated process to deploy application releases to production.,,,
Cost Optimization,What considerations for DevOps practices are you making in this workload?,There is a difference in configuration for production and non-production environments.,,,
Cost Optimization,What considerations for DevOps practices are you making in this workload?,Test-environments  are deployed automatically and deleted after use.,,,
Cost Optimization,What considerations for DevOps practices are you making in this workload?,There is awareness around how the application has been built and is being maintained (in house or via an external partner).,There is awareness around how the application has been built and is being maintained (in house or via an external partner).,,
Cost Optimization,What considerations for DevOps practices are you making in this workload?,There is awareness regarding the ratio of cost of production and non-production environments for this workload.,,,
Cost Optimization,What considerations for DevOps practices are you making in this workload?,None of the above.,,,
Cost Optimization,How do you manage compute costs for this workload?,Appropriate SKUs are used for workload servers.,Appropriate SKUs are used for workload servers.,,
Cost Optimization,How do you manage compute costs for this workload?,Appropriate operating systems are used in the workload.,Appropriate operating systems are used in the workload.,,
Cost Optimization,How do you manage compute costs for this workload?,A recent review of SKUs that could benefit from Reserved Instances for 1 or 3 years or more has been performed.,,,
Cost Optimization,How do you manage compute costs for this workload?,Burstable (B) series VM sizes are used for VMs that are idle most of the time and have high usage only in certain periods.,,,
Cost Optimization,How do you manage compute costs for this workload?,VM instances which are not used are shut down.,,,
Cost Optimization,How do you manage compute costs for this workload?,Spot virtual machines are used.,,,
Cost Optimization,How do you manage compute costs for this workload?,PaaS is used as an alternative to buying virtual machines.,PaaS is used as an alternative to buying virtual machines.,,
Cost Optimization,How do you manage compute costs for this workload?,Costs are optimized by using the App Service Premium (v3) plan over the Premium (Pv2) plan.,,,
Cost Optimization,How do you manage compute costs for this workload?,Zone to Zone disaster recovery is used for virtual machines.,,,
Cost Optimization,How do you manage compute costs for this workload?,The Start/Stop feature in Azure Kubernetes Services (AKS) is used.,,,
Cost Optimization,How do you manage compute costs for this workload?,None of the above.,,,
Cost Optimization,How do you manage networking costs for this workload?,Service Endpoints or Private Link are used for accessing Azure PaaS services.,,,
Cost Optimization,How do you manage networking costs for this workload?,Hub and spoke design pricing is understood.,,,
Cost Optimization,How do you manage networking costs for this workload?,Microsoft backbone network is preferred.,,,
Cost Optimization,How do you manage networking costs for this workload?,DDoS attack mitigation plans and capabilities are in place.,,,
Cost Optimization,How do you manage networking costs for this workload?,"Azure Front Door, Azure App Gateway or Web Application Firewall is used.",,,
Cost Optimization,How do you manage networking costs for this workload?,The workload is connected between regions (using network peering or gateways).,,,
Cost Optimization,How do you manage networking costs for this workload?,Azure resources are connecting to the internet via on-premises.,,,
Cost Optimization,How do you manage networking costs for this workload?,Public IPs and orphaned NICs are regularly cleaned up.,,,
Cost Optimization,How do you manage networking costs for this workload?,None of the above.,None of the above.,,
Cost Optimization,How do you manage storage and data costs for this workload?,Reserved capacity is used for data in block blob storage.,,,
Cost Optimization,How do you manage storage and data costs for this workload?,Data is organized into access tiers.,,,
Cost Optimization,How do you manage storage and data costs for this workload?,Life-cycle policy is used to move data between access tiers.,,,
Cost Optimization,How do you manage storage and data costs for this workload?,Shared disks are leveraged for suitable workloads.,,,
Cost Optimization,How do you manage storage and data costs for this workload?,Reserved premium disks (P30 & above) are used.,,,
Cost Optimization,How do you manage storage and data costs for this workload?,Bursting for P20 and below disks is utilized for suitable workloads.,,,
Cost Optimization,How do you manage storage and data costs for this workload?,"For database workloads, data and log files are stored on separate disks.",,,
Cost Optimization,How do you manage storage and data costs for this workload?,"Unused storage resources (e.g. unattached disks, old snapshots) are periodically cleaned up.",,,
Cost Optimization,How do you manage storage and data costs for this workload?,Selective disk backup and restore for Azure VMs is used.,,,
Cost Optimization,How do you manage storage and data costs for this workload?,None of the above.,None of the above.,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,The workload is deployed across multiple regions.,,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,"Regions were chosen based on location, proximity to users, and resource type availability.","Regions were chosen based on location, proximity to users, and resource type availability.",,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,Paired regions are used appropriately.,,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,You have ensured that both (all) regions in use have the same performance and scale SKUs that are currently leveraged in the primary region.,,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,Within a region the application architecture is designed to use Availability Zones.,,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,The application is implemented with strategies for resiliency and self-healing.,,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,Component proximity is considered for application performance reasons.,,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,The application can operate with reduced functionality or degraded performance in the case of an outage.,,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,You choose appropriate datastores for the workload during the application design.,,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,Your application is using a micro-service architecture.,,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,You understand where state will be stored for the workload.,,,
Performance Efficiency,What design considerations have you made for performance efficiency in your workload?,None of the above.,,,
Performance Efficiency,Have you identified the performance targets and non-functional requirements for your workload?,You are able to predict general application usage.,You are able to predict general application usage.,,
Performance Efficiency,Have you identified the performance targets and non-functional requirements for your workload?,There are well-defined performance requirements for the workload and its key scenarios.,,,
Performance Efficiency,Have you identified the performance targets and non-functional requirements for your workload?,Targets for scale operations are defined.,,,
Performance Efficiency,Have you identified the performance targets and non-functional requirements for your workload?,You understand and have documented the expected maximum traffic volume before performance degradation occurs.,,,
Performance Efficiency,Have you identified the performance targets and non-functional requirements for your workload?,None of the above.,,,
Performance Efficiency,How are you ensuring that your workload is elastic and responsive to changes?,The workload can scale horizontally in response to changing load.,,,
Performance Efficiency,How are you ensuring that your workload is elastic and responsive to changes?,Have policies to scale in and scale down when the load decreases.,,,
Performance Efficiency,How are you ensuring that your workload is elastic and responsive to changes?,Configured scaling policies to use the appropriate metrics.,,,
Performance Efficiency,How are you ensuring that your workload is elastic and responsive to changes?,Automatically schedule autoscaling to add resources based on time of day trends.,,,
Performance Efficiency,How are you ensuring that your workload is elastic and responsive to changes?,Autoscaling has been tested under sustained load.,,,
Performance Efficiency,How are you ensuring that your workload is elastic and responsive to changes?,You have measured the time it takes to scale in and out.,,,
Performance Efficiency,How are you ensuring that your workload is elastic and responsive to changes?,None of the above.,None of the above.,,
Performance Efficiency,How have you accounted for capacity and scaling requirements of your workload?,You have a capacity model for the workload.,,,
Performance Efficiency,How have you accounted for capacity and scaling requirements of your workload?,Capacity utilization is monitored and used to forecast future growth.,,,
Performance Efficiency,How have you accounted for capacity and scaling requirements of your workload?,A process for provisioning and de-provisioning capacity has been established.,,,
Performance Efficiency,How have you accounted for capacity and scaling requirements of your workload?,You have enabled auto-scaling for all PaaS and IaaS services that support it.,,,
Performance Efficiency,How have you accounted for capacity and scaling requirements of your workload?,You are aware of relevant Azure service limits and quotas.,,,
Performance Efficiency,How have you accounted for capacity and scaling requirements of your workload?,You have validated the SKU and configuration choices are appropriate for your anticipated loads.,You have validated the SKU and configuration choices are appropriate for your anticipated loads.,,
Performance Efficiency,How have you accounted for capacity and scaling requirements of your workload?,There is a strategy in place to manage events that may cause a spike in load.,,,
Performance Efficiency,How have you accounted for capacity and scaling requirements of your workload?,None of the above.,,,
Performance Efficiency,What considerations for performance efficiency have you made in your networking stack?,You are using a Content Delivery Network.,,,
Performance Efficiency,What considerations for performance efficiency have you made in your networking stack?,You are offloading SSL.,,,
Performance Efficiency,What considerations for performance efficiency have you made in your networking stack?,You are using authentication/token verification offloading.,,,
Performance Efficiency,What considerations for performance efficiency have you made in your networking stack?,"You have defined, tested, and validated latency targets for key scenarios.",,,
Performance Efficiency,What considerations for performance efficiency have you made in your networking stack?,"You have defined, tested, and validated throughput targets for key scenarios.",,,
Performance Efficiency,What considerations for performance efficiency have you made in your networking stack?,You have identified all components that are sensitive to network latency.,,,
Performance Efficiency,What considerations for performance efficiency have you made in your networking stack?,Dedicated bandwidth has been acquired where needed.,,,
Performance Efficiency,What considerations for performance efficiency have you made in your networking stack?,None of the above.,None of the above.,,
Performance Efficiency,How are you managing your data to handle scale?,You know the growth rate of your data.,,,
Performance Efficiency,How are you managing your data to handle scale?,You have documented plans for data growth and retention.,,,
Performance Efficiency,How are you managing your data to handle scale?,Design for eventual consistency.,,,
Performance Efficiency,How are you managing your data to handle scale?,You are using database replicas and data partitioning (sharding) as appropriate.,,,
Performance Efficiency,How are you managing your data to handle scale?,Minimize the load on the data store.,,,
Performance Efficiency,How are you managing your data to handle scale?,Normalize the data appropriately.,,,
Performance Efficiency,How are you managing your data to handle scale?,Optimize database queries and indexes.,,,
Performance Efficiency,How are you managing your data to handle scale?,None of the above.,None of the above.,,
Performance Efficiency,How are you testing to ensure that you workload can appropriately handle user load?,There is a defined testing strategy.,,,
Performance Efficiency,How are you testing to ensure that you workload can appropriately handle user load?,Performance tests are performed regularly.,,,
Performance Efficiency,How are you testing to ensure that you workload can appropriately handle user load?,You have identified the human and environmental resources needed to create performance tests.,,,
Performance Efficiency,How are you testing to ensure that you workload can appropriately handle user load?,You are using appropriate tools to conduct performance tests on your workload.,,,
Performance Efficiency,How are you testing to ensure that you workload can appropriately handle user load?,You are testing all appropriate components for performance.,,,
Performance Efficiency,How are you testing to ensure that you workload can appropriately handle user load?,You have identified all services being utilized in Azure (and on-premise) that need to be measured.,,,
Performance Efficiency,How are you testing to ensure that you workload can appropriately handle user load?,Some tests are performed in production.,,,
Performance Efficiency,How are you testing to ensure that you workload can appropriately handle user load?,The testing plan includes occasionally injecting faults.,,,
Performance Efficiency,How are you testing to ensure that you workload can appropriately handle user load?,None of the above.,None of the above.,,
Performance Efficiency,How are you benchmarking your workload?,You have identified goals or a baseline for workload performance.,,,
Performance Efficiency,How are you benchmarking your workload?,Performance goals are based on device and/or connectivity type as appropriate.,,,
Performance Efficiency,How are you benchmarking your workload?,You have defined an initial connection goal for your workload.,,,
Performance Efficiency,How are you benchmarking your workload?,There is a goal defined for complete page load times.,,,
Performance Efficiency,How are you benchmarking your workload?,You have defined goals for an API (service) endpoint complete response.,,,
Performance Efficiency,How are you benchmarking your workload?,There are goals defined for server response time.,,,
Performance Efficiency,How are you benchmarking your workload?,You have goals for latency between the systems & microservices of your workload.,,,
Performance Efficiency,How are you benchmarking your workload?,There are goals on database query efficiency.,,,
Performance Efficiency,How are you benchmarking your workload?,You have a methodology to determine what acceptable performance is.,,,
Performance Efficiency,How are you benchmarking your workload?,None of the above.,None of the above.,,
Performance Efficiency,How have you modeled the health of your workload?,Application and resource level logs are aggregated in a single data sink or able to be cross-queried.,,,
Performance Efficiency,How have you modeled the health of your workload?,A health model is used to qualify what 'healthy' and 'unhealthy' states represent for the application.,,,
Performance Efficiency,How have you modeled the health of your workload?,Critical system flows are used to inform the health model.,,,
Performance Efficiency,How have you modeled the health of your workload?,The health model can distinguish between transient and non-transient faults.,,,
Performance Efficiency,How have you modeled the health of your workload?,The health model can determine if the workload is performing at the expected targets.,,,
Performance Efficiency,How have you modeled the health of your workload?,Retention times for logs and metrics been defined and housekeeping mechanisms are configured.,,,
Performance Efficiency,How have you modeled the health of your workload?,Long-term trends are analyzed to predict performance issues before they occur.,,,
Performance Efficiency,How have you modeled the health of your workload?,None of the above.,None of the above.,,
Performance Efficiency,How are you monitoring to ensure the workload is scaling appropriately?,Track when resources scale in and out.,,,
Performance Efficiency,How are you monitoring to ensure the workload is scaling appropriately?,Have an overall monitoring strategy for scalability and performance.,,,
Performance Efficiency,How are you monitoring to ensure the workload is scaling appropriately?,Application logs are collected from different application environments.,,,
Performance Efficiency,How are you monitoring to ensure the workload is scaling appropriately?,Logs are captured in a structured format.,,,
Performance Efficiency,How are you monitoring to ensure the workload is scaling appropriately?,You monitor how much of an application is involved in serving a single request.,,,
Performance Efficiency,How are you monitoring to ensure the workload is scaling appropriately?,Application events are correlated across all application components.,,,
Performance Efficiency,How are you monitoring to ensure the workload is scaling appropriately?,"You have determined an acceptable operational margin between your peak utilization and the application's maximum load, and monitor for this.",,,
Performance Efficiency,How are you monitoring to ensure the workload is scaling appropriately?,You are aware of the appropriate metrics to monitor for performance tests under standard load.,,,
Performance Efficiency,How are you monitoring to ensure the workload is scaling appropriately?,You monitor critical external dependencies for performance.,,,
Performance Efficiency,How are you monitoring to ensure the workload is scaling appropriately?,None of the above.,None of the above.,,
Performance Efficiency,What common problems do you have steps to troubleshoot in your operations playbook?,You have steps to troubleshoot database issues.,,,
Performance Efficiency,What common problems do you have steps to troubleshoot in your operations playbook?,You know how to handle high CPU or memory situations.,,,
Performance Efficiency,What common problems do you have steps to troubleshoot in your operations playbook?,You know what to do when the application response times increase while not using all the CPU or memory allocated to the system.,,,
Performance Efficiency,What common problems do you have steps to troubleshoot in your operations playbook?,You use profiling tools to profile your application code.,,,
Performance Efficiency,What common problems do you have steps to troubleshoot in your operations playbook?,You have a response plan for network performance problems that includes traffic capturing tools.,,,
Performance Efficiency,What common problems do you have steps to troubleshoot in your operations playbook?,None of the above.,None of the above.,,
